,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1687015248830.0908,-1.1183046971655048,8.619518272428925,-1.4469932738696076,6.210366316801537,-26.448961907735647,5.7999646476626445,6.0876813712869176,-22.728986024592906,14.388586468820158,2.7703939746738873,0.10795838643656562,-3.104595174910636,-1.2429305619940456,0.0,6.2362868034687216,1.5292873045845015,0.17530145381974324,3.134223339251307
1687015248850.1,-1.1067154639749899,10.357612466564172,-1.5691232214283382,6.028081817911408,-26.667894314330667,5.6687437395218705,5.901862940679978,-22.797736308687043,14.385105974350724,2.782388366354019,0.1474702390320043,-3.0754338126816747,-1.2414906249599438,0.0,6.167255679322998,1.5426835867423734,0.21408750267249851,3.0943298745457435
1687015248870.1091,-0.8895538191896504,11.933819719006072,-1.4556913900619048,5.892298819061466,-26.779428621022134,5.404537203160114,5.821626546993826,-22.69844017329281,14.283052957607751,2.8321253834215305,0.23905352453867396,-3.0465924888687206,-1.241445179717307,0.0,6.226072122958044,1.592433380299797,0.3050638836609588,3.1820323437550466
1687015248890.1182,-0.8808321416092824,13.601310310897253,-1.497537614368102,5.718875263657804,-26.828543941581973,5.28653705237998,5.664853427299551,-22.801260099305168,14.250929683791108,2.843349076914582,0.2599420627996934,-3.0083940400757285,-1.232641651541856,0.0,6.155067241800906,1.6124033595457044,0.32464552833032856,3.1491847943242544
1687015248910.1272,-0.703032358341127,15.076466721815942,-1.356543616265239,5.581453538877852,-26.81970029323339,5.062627358925128,5.602872416251272,-22.76056128938716,14.139432562642993,2.884860216538786,0.3273153696585251,-2.979209775183406,-1.2252810155261178,0.0,6.2019622348092165,1.6612354355726509,0.39102891003185314,3.2252841227570785
1687015248930.1365,-0.7111964617098346,16.49415231980421,-1.3863635292839667,5.406214218710696,-26.843743406698717,4.97631022137079,5.485127794522862,-22.898998421692326,14.095958507969867,2.88920489882394,0.33978873604766563,-2.963206271320554,-1.2123487101758978,0.0,6.159647245024945,1.6784751076305084,0.4024738378129842,3.1989349829968585
1687015248950.1455,-0.5767859356246873,17.686643206688718,-1.269367080776987,5.262792645561355,-26.84178876652574,4.800169577884011,5.454642487757306,-22.916341071781765,13.986069207586162,2.9178761163606577,0.39231809175156435,-2.960999509905384,-1.2004176072164852,0.0,6.225297415172324,1.7190604927813582,0.45435917967274514,3.266812237613736
1687015248970.1545,-0.6112777424025263,18.794894098838128,-1.3129984600520261,5.095691508558195,-26.885335093664903,4.723564843224771,5.385912678234101,-23.047770170245116,13.947452236700705,2.916025522837803,0.3946296117775476,-2.9587521507908137,-1.1809933816425249,0.0,6.206632812223098,1.736604633705284,0.45560388016594505,3.250352655971895
1687015248990.1636,-0.5266933458553594,19.648245840229166,-1.2476440544032903,4.9672307746596,-26.936133757394494,4.547339504345538,5.403706577028725,-23.03391246505042,13.862737560907224,2.9378745308560035,0.4337139397766135,-2.957441295229946,-1.1634379235613872,0.0,6.279821958688313,1.7759853608373093,0.4937743592829485,3.3248541357835686
1687015249010.1726,-0.5922641220716862,20.42006612008769,-1.3115678258223589,4.810366100286937,-27.021106032325935,4.469220047574029,5.393504617967297,-23.13113662321649,13.837244594199817,2.928111564263713,0.4189632518355513,-2.9684997488522233,-1.1295873979519162,0.0,6.2809357367500604,1.8000371353562432,0.47747822135110857,3.3148468512466045
